pas50_id|dxcc_code|code|subdivision
1|50|COL|Colima
2|50|DF|Distrito Federal
3|50|EMX|Estado de Mexico
4|50|GTO|Guanajuato
5|50|HGO|Hidalgo
6|50|JAL|Jalisco
7|50|MIC|Michoacan de Ocampo
8|50|MOR|Morelos
9|50|NAY|Nayarit
10|50|PUE|Puebla
11|50|QRO|Queretaro de Arteaga
12|50|TLX|Tlaxcala
13|50|VER|Veracruz-Llave
14|50|AGS|Aguascalientes
15|50|BC|Baja California
16|50|BCS|Baja California Sur
17|50|CHH|Chihuahua
18|50|COA|Coahuila de Zaragoza
19|50|DGO|Durango
20|50|NL|Nuevo Leon
21|50|SLP|San Luis Potosi
22|50|SIN|Sinaloa
23|50|SON|Sonora
24|50|TMS|Tamaulipas
25|50|ZAC|Zacatecas
26|50|CAM|Campeche
27|50|CHS|Chiapas
28|50|GRO|Guerrero
29|50|OAX|Oaxaca
30|50|QTR|Quintana Roo
31|50|TAB|Tabasco
32|50|YUC|Yucatan
